customerID,gender,SeniorCitizen,Partner,Dependents
7590-VHVEG,Female,0,Yes,No
5575-GNVDE,Male,0,No,No
3668-QPYBK,Male,0,No,No
7795-CFOCW,Male,0,No,No
9237-HQITU,Female,0,No,No
9305-CDSKC,Female,0,No,No
1452-KIOVK,Male,0,No,Yes
6713-OKOMC,Female,0,No,No
7892-POOKP,Female,0,Yes,No
6388-TABGU,Male,0,No,Yes
9763-GRSKD,Male,0,Yes,Yes
7469-LKBCI,Male,0,No,No
8091-TTVAX,Male,0,Yes,No
0280-XJGEX,Male,0,No,No
5129-JLPIS,Male,0,No,No
3655-SNQYZ,Female,0,Yes,Yes
8191-XWSZG,Female,0,No,No
9959-WOFKT,Male,0,No,Yes
4190-MFLUW,Female,0,Yes,Yes
4183-MYFRB,Female,0,No,No
8779-QRDMV,Male,1,No,No
1680-VDCWW,Male,0,Yes,No
1066-JKSGK,Male,0,No,No
3638-WEABW,Female,0,Yes,No
6322-HRPFA,Male,0,Yes,Yes
6865-JZNKO,Female,0,No,No
6467-CHFZW,Male,0,Yes,Yes
8665-UTDHZ,Male,0,Yes,Yes
5248-YGIJN,Male,0,Yes,No
8773-HHUOZ,Female,0,No,Yes
3841-NFECX,Female,1,Yes,No
4929-XIHVW,Male,1,Yes,No
6827-IEAUQ,Female,0,Yes,Yes
7310-EGVHZ,Male,0,No,No
3413-BMNZE,Male,1,No,No
6234-RAAPL,Female,0,Yes,Yes
6047-YHPVI,Male,0,No,No
6572-ADKRS,Female,0,No,No
5380-WJKOV,Male,0,No,No
8168-UQWWF,Female,0,No,No
8865-TNMNX,Male,0,Yes,Yes
9489-DEDVP,Female,0,Yes,Yes
9867-JCZSP,Female,0,Yes,Yes
4671-VJLCL,Female,0,No,No
4080-IIARD,Female,0,Yes,No
3714-NTNFO,Female,0,No,No
5948-UJZLF,Male,0,No,No
7760-OYPDY,Female,0,No,No
7639-LIAYI,Male,0,No,No
2954-PIBKO,Female,0,Yes,Yes
8012-SOUDQ,Female,1,No,No
9420-LOJKX,Female,0,No,No
6575-SUVOI,Female,1,Yes,No
7495-OOKFY,Female,1,Yes,No
4667-QONEA,Female,1,Yes,Yes
1658-BYGOY,Male,1,No,No
8769-KKTPH,Female,0,Yes,Yes
5067-XJQFU,Male,1,Yes,Yes
3957-SQXML,Female,0,Yes,Yes
5954-BDFSG,Female,0,No,No
0434-CSFON,Female,0,Yes,No
1215-FIGMP,Male,0,No,No
0526-SXDJP,Male,0,Yes,No
0557-ASKVU,Female,0,Yes,Yes
5698-BQJOH,Female,0,No,No
5122-CYFXA,Female,0,No,No
8627-ZYGSZ,Male,0,Yes,No
3410-YOQBQ,Female,0,No,No
3170-NMYVV,Female,0,Yes,Yes
