customerID,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
7590-VHVEG,No phone service,DSL,No,Yes,No,No,No,No
5575-GNVDE,No,DSL,Yes,No,Yes,No,No,No
3668-QPYBK,No,DSL,Yes,Yes,No,No,No,No
7795-CFOCW,No phone service,DSL,Yes,No,Yes,Yes,No,No
9237-HQITU,No,Fiber optic,No,No,No,No,No,No
9305-CDSKC,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
1452-KIOVK,Yes,Fiber optic,No,Yes,No,No,Yes,No
6713-OKOMC,No phone service,DSL,Yes,No,No,No,No,No
7892-POOKP,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
6388-TABGU,No,DSL,Yes,Yes,No,No,No,No
9763-GRSKD,No,DSL,Yes,No,No,No,No,No
7469-LKBCI,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8091-TTVAX,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
0280-XJGEX,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
5129-JLPIS,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
3655-SNQYZ,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
8191-XWSZG,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9959-WOFKT,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes
4190-MFLUW,No,DSL,No,No,Yes,Yes,No,No
4183-MYFRB,No,Fiber optic,No,Yes,Yes,No,No,Yes
8779-QRDMV,No phone service,DSL,No,No,Yes,No,No,Yes
1680-VDCWW,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1066-JKSGK,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3638-WEABW,Yes,DSL,No,Yes,No,Yes,No,No
6322-HRPFA,No,DSL,Yes,Yes,No,Yes,No,No
6865-JZNKO,No,DSL,Yes,Yes,No,No,No,No
6467-CHFZW,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
8665-UTDHZ,No phone service,DSL,No,Yes,No,No,No,No
5248-YGIJN,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
8773-HHUOZ,No,DSL,No,No,No,No,Yes,Yes
3841-NFECX,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No
4929-XIHVW,No,Fiber optic,No,No,Yes,No,Yes,Yes
6827-IEAUQ,No,DSL,Yes,Yes,Yes,Yes,No,No
7310-EGVHZ,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3413-BMNZE,No,DSL,No,No,No,No,No,No
6234-RAAPL,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No
6047-YHPVI,No,Fiber optic,No,No,No,No,No,No
6572-ADKRS,No,Fiber optic,No,No,Yes,No,No,No
5380-WJKOV,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
