customerID,tenure,PhoneService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,1,No,Month-to-month,Yes,Electronic check,29.85,29.85,No
5575-GNVDE,34,Yes,One year,No,Mailed check,56.95,1889.5,No
3668-QPYBK,2,Yes,Month-to-month,Yes,Mailed check,53.85,108.15,Yes
7795-CFOCW,45,No,One year,No,Bank transfer (automatic),42.3,1840.75,No
9237-HQITU,2,Yes,Month-to-month,Yes,Electronic check,70.7,151.65,Yes
9305-CDSKC,8,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes
1452-KIOVK,22,Yes,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No
6713-OKOMC,10,No,Month-to-month,No,Mailed check,29.75,301.9,No
7892-POOKP,28,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes
6388-TABGU,62,Yes,One year,No,Bank transfer (automatic),56.15,3487.95,No
9763-GRSKD,13,Yes,Month-to-month,Yes,Mailed check,49.95,587.45,No
7469-LKBCI,16,Yes,Two year,No,Credit card (automatic),18.95,326.8,No
8091-TTVAX,58,Yes,One year,No,Credit card (automatic),100.35,5681.1,No
0280-XJGEX,49,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes
5129-JLPIS,25,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No
3655-SNQYZ,69,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No
8191-XWSZG,52,Yes,One year,No,Mailed check,20.65,1022.95,No
9959-WOFKT,71,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No
4190-MFLUW,10,Yes,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes
4183-MYFRB,21,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No
8779-QRDMV,1,No,Month-to-month,Yes,Electronic check,39.65,39.65,Yes
1680-VDCWW,12,Yes,One year,No,Bank transfer (automatic),19.8,202.25,No
1066-JKSGK,1,Yes,Month-to-month,No,Mailed check,20.15,20.15,Yes
3638-WEABW,58,Yes,Two year,Yes,Credit card (automatic),59.9,3505.1,No
6322-HRPFA,49,Yes,Month-to-month,No,Credit card (automatic),59.6,2970.3,No
6865-JZNKO,30,Yes,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No
6467-CHFZW,47,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes
8665-UTDHZ,1,No,Month-to-month,No,Electronic check,30.2,30.2,Yes
5248-YGIJN,72,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No
8773-HHUOZ,17,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes
3841-NFECX,71,Yes,Two year,Yes,Credit card (automatic),96.35,6766.95,No
4929-XIHVW,2,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No
6827-IEAUQ,27,Yes,One year,No,Mailed check,66.15,1874.45,No
7310-EGVHZ,1,Yes,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No
3413-BMNZE,1,Yes,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No
6234-RAAPL,72,Yes,Two year,No,Bank transfer (automatic),99.9,7251.7,No
6047-YHPVI,5,Yes,Month-to-month,Yes,Electronic check,69.7,316.9,Yes
6572-ADKRS,46,Yes,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No
5380-WJKOV,34,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes
8168-UQWWF,11,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes
8865-TNMNX,10,Yes,One year,No,Mailed check,49.55,475.7,No
9489-DEDVP,70,Yes,Two year,Yes,Credit card (automatic),69.2,4872.35,No
