,Open,High,Low,Close
2008-01-01,1.45905,1.47502,1.45885,1.47146
2008-01-02,1.47146,1.47812,1.46876,1.4751
2008-01-03,1.47504,1.48254,1.46958,1.47429
2008-01-05,1.47451,1.47559,1.4743,1.47465
2008-01-06,1.47465,1.4756,1.46586,1.46954
2008-01-07,1.46954,1.47444,1.46804,1.47078
2008-01-08,1.47074,1.47426,1.46394,1.46594
2008-01-09,1.46598,1.48134,1.46418,1.48038
2008-01-10,1.4803,1.48194,1.47618,1.47767
2008-01-12,1.47842,1.47877,1.47787,1.47822
2008-01-13,1.47823,1.49148,1.47823,1.48692
2008-01-14,1.48696,1.49224,1.48006,1.48042
2008-01-15,1.48038,1.4859,1.45948,1.46526
2008-01-16,1.46528,1.47158,1.45896,1.46422
2008-01-17,1.46428,1.46956,1.46027,1.46212
2008-01-19,1.46204,1.46204,1.45992,1.46035
2008-01-20,1.4604,1.46046,1.44218,1.44544
2008-01-21,1.44538,1.46434,1.43664,1.46294
2008-01-22,1.46292,1.46844,1.45114,1.46304
2008-01-23,1.46298,1.47794,1.45912,1.47556
2008-01-24,1.47546,1.47778,1.4661,1.46813
2008-01-26,1.46824,1.46862,1.46742,1.46802
2008-01-27,1.46802,1.47982,1.46612,1.47812
2008-01-28,1.47828,1.47974,1.47378,1.47764
2008-01-29,1.47764,1.49072,1.47554,1.4862
2008-01-30,1.48626,1.49146,1.48024,1.48604
2008-01-31,1.48604,1.49534,1.47866,1.48025
2008-02-02,1.48085,1.48125,1.48035,1.4806
2008-02-03,1.48055,1.48492,1.47935,1.48292
2008-02-04,1.48292,1.48344,1.46226,1.46478
2008-02-05,1.46482,1.46716,1.4592,1.46324
2008-02-06,1.46322,1.46518,1.44392,1.4485
2008-02-07,1.44842,1.4547,1.44508,1.45056
2008-02-09,1.4506,1.45265,1.45045,1.45175
2008-02-10,1.45175,1.45774,1.44818,1.45184
2008-02-11,1.45188,1.4615,1.44962,1.45844
2008-02-12,1.45844,1.45996,1.45318,1.45734
2008-02-13,1.45734,1.4647,1.45484,1.46428
2008-02-14,1.46424,1.47098,1.46312,1.4682
2008-02-16,1.46777,1.46825,1.46716,1.46799
2008-02-17,1.468,1.46905,1.46112,1.46582
2008-02-18,1.46572,1.47566,1.46422,1.47258
2008-02-19,1.47262,1.47318,1.46142,1.47148
2008-02-20,1.47148,1.48376,1.47026,1.4814
2008-02-21,1.48146,1.48636,1.47886,1.48267
2008-02-22,1.48282,1.48282,1.48267,1.48267
2008-02-23,1.48267,1.48407,1.48267,1.48392
2008-02-24,1.48395,1.48442,1.47948,1.48302
2008-02-25,1.48302,1.49864,1.47778,1.49744
2008-02-26,1.49744,1.5144,1.49714,1.51204
2008-02-27,1.51198,1.523,1.5074,1.51934
2008-02-28,1.51914,1.5239,1.51436,1.51786
2008-03-01,1.51862,1.51957,1.51667,1.51952
2008-03-02,1.51942,1.52764,1.51578,1.5204
2008-03-03,1.52036,1.52496,1.51738,1.52166
2008-03-04,1.52166,1.53022,1.51458,1.5265
2008-03-05,1.5265,1.53944,1.52616,1.53808
2008-03-06,1.53798,1.54625,1.53148,1.53557
2008-03-08,1.53507,1.53637,1.53502,1.53632
2008-03-09,1.53632,1.54051,1.53134,1.53436
2008-03-10,1.53434,1.54956,1.5283,1.5338
2008-03-11,1.53376,1.5572,1.53316,1.55512
2008-03-12,1.55512,1.56456,1.55226,1.56358
2008-03-13,1.56358,1.56878,1.55326,1.56737
2008-03-15,1.56702,1.5684,1.56565,1.56816
2008-03-16,1.56815,1.5905,1.568,1.57291
2008-03-17,1.57291,1.58322,1.56173,1.5624
2008-03-18,1.56247,1.57852,1.55822,1.5626
2008-03-19,1.5626,1.56511,1.53968,1.5428
2008-03-20,1.54278,1.54734,1.54057,1.54339
2008-03-22,1.54395,1.54415,1.5436,1.54415
2008-03-23,1.54415,1.54555,1.53415,1.54227
2008-03-24,1.54233,1.5659,1.54078,1.56502
2008-03-25,1.56498,1.58594,1.55842,1.58456
2008-03-26,1.5846,1.58475,1.57264,1.57781
2008-03-27,1.57781,1.58392,1.57419,1.57946
2008-03-29,1.5793,1.58025,1.5793,1.5802
2008-03-30,1.5802,1.5897,1.57606,1.57884
2008-03-31,1.57878,1.57888,1.55632,1.56142
2008-04-01,1.56144,1.57022,1.55338,1.56858
2008-04-02,1.56858,1.56974,1.55108,1.5685
2008-04-03,1.5684,1.57742,1.5638,1.57375
2008-04-05,1.57357,1.57377,1.57227,1.57312
2008-04-06,1.57312,1.57372,1.56276,1.57104
2008-04-07,1.57108,1.57984,1.56744,1.57116
2008-04-08,1.57126,1.58654,1.56834,1.58316
2008-04-09,1.58316,1.59132,1.57252,1.57428
2008-04-10,1.57428,1.58554,1.5739,1.58073
2008-04-12,1.58055,1.59325,1.56545,1.5696
2008-04-13,1.5696,1.58862,1.56711,1.58322
2008-04-14,1.58322,1.58756,1.5752,1.57894
2008-04-15,1.57886,1.5979,1.5759,1.59474
2008-04-16,1.59474,1.59844,1.58467,1.59082
2008-04-17,1.59082,1.59562,1.57109,1.58172
2008-04-19,1.58174,1.58174,1.58025,1.5806
2008-04-20,1.5806,1.59474,1.57905,1.59122
2008-04-21,1.59124,1.60194,1.58346,1.59914
2008-04-22,1.59928,1.60036,1.58604,1.58896
2008-04-23,1.589,1.58974,1.56386,1.5682
2008-04-24,1.5681,1.57072,1.55556,1.56302
2008-04-25,1.5627,1.5627,1.5627,1.5627
2008-04-26,1.5625,1.563,1.56085,1.5613
2008-04-27,1.5613,1.56932,1.55968,1.5658
2008-04-28,1.56578,1.56642,1.55404,1.55722
2008-04-29,1.55722,1.56444,1.55165,1.56226
2008-04-30,1.56216,1.56432,1.54308,1.54754
2008-05-01,1.54763,1.54984,1.53608,1.5424
2008-05-03,1.54175,1.54385,1.54145,1.54365
2008-05-04,1.54365,1.55192,1.5423,1.54968
2008-05-05,1.54972,1.55942,1.54528,1.55322
2008-05-06,1.55324,1.55392,1.53668,1.5392
2008-05-07,1.5392,1.54422,1.52852,1.53936
2008-05-08,1.53936,1.54894,1.53924,1.54829
2008-05-10,1.54859,1.54859,1.5449,1.54555
2008-05-11,1.54555,1.557,1.53658,1.5553
2008-05-12,1.55532,1.55664,1.54312,1.54742
2008-05-13,1.54744,1.54874,1.53966,1.54738
2008-05-14,1.54738,1.55464,1.54204,1.54476
2008-05-15,1.54476,1.56011,1.54364,1.55767
2008-05-17,1.5583,1.5597,1.55815,1.55935
2008-05-18,1.55935,1.56336,1.5486,1.55101
2008-05-19,1.55096,1.56816,1.55032,1.56459
2008-05-20,1.56459,1.57961,1.56318,1.57946
2008-05-21,1.57946,1.58136,1.56934,1.57342
2008-05-22,1.57342,1.5794,1.56968,1.57621
2008-05-24,1.57614,1.57756,1.57612,1.57677
2008-05-25,1.57677,1.57925,1.57419,1.577
2008-05-26,1.57698,1.5818,1.56822,1.56911
2008-05-27,1.56911,1.57604,1.56088,1.5638
2008-05-28,1.564,1.56642,1.5485,1.55186
2008-05-29,1.55186,1.5569,1.54622,1.55539
2008-05-31,1.55555,1.55805,1.5545,1.55665
2008-06-01,1.5566,1.5589,1.54868,1.5537
2008-06-02,1.55366,1.56284,1.54107,1.5444
2008-06-03,1.54442,1.54832,1.542,1.54404
2008-06-04,1.54404,1.56016,1.53654,1.5594
2008-06-05,1.55939,1.57781,1.55728,1.57777
2008-06-06,1.57802,1.57802,1.57802,1.57802
2008-06-07,1.57812,1.57912,1.57757,1.5782
2008-06-08,1.5782,1.58432,1.56192,1.56458
2008-06-09,1.56458,1.5654,1.54408,1.54672
2008-06-10,1.54668,1.55872,1.54498,1.55528
2008-06-11,1.55522,1.5566,1.53793,1.5439
2008-06-12,1.54386,1.5484,1.53038,1.53798
2008-06-13,1.53812,1.53812,1.53799,1.53807
2008-06-14,1.53865,1.54395,1.53835,1.54055
2008-06-15,1.54055,1.55192,1.5346,1.54776
2008-06-16,1.54776,1.55526,1.54608,1.55111
2008-06-17,1.55111,1.55378,1.54634,1.55347
2008-06-18,1.55343,1.55866,1.5467,1.55045
2008-06-19,1.55047,1.56512,1.54922,1.56069
2008-06-21,1.56078,1.56238,1.56068,1.56233
2008-06-22,1.56233,1.56368,1.54688,1.55178
2008-06-23,1.55172,1.56224,1.5492,1.5568
2008-06-24,1.55684,1.56868,1.55368,1.56667
2008-06-25,1.56657,1.57674,1.56282,1.57573
2008-06-26,1.57577,1.57943,1.57198,1.57943
2008-06-28,1.57896,1.57896,1.57739,1.57783
2008-06-29,1.57783,1.5836,1.57312,1.5756
2008-06-30,1.57554,1.5827,1.57232,1.57926
2008-07-01,1.5792,1.58884,1.57778,1.58823
2008-07-02,1.58827,1.59096,1.56821,1.57036
2008-07-03,1.57046,1.57272,1.56555,1.57094
2008-07-05,1.57027,1.57097,1.56972,1.56982
2008-07-06,1.56982,1.57534,1.56116,1.57256
2008-07-07,1.5726,1.57398,1.5636,1.56706
2008-07-08,1.5671,1.57498,1.56498,1.57428
2008-07-09,1.5743,1.58018,1.56918,1.57886
2008-07-10,1.57888,1.59474,1.57652,1.59383
2008-07-11,1.59374,1.59374,1.59374,1.59374
2008-07-12,1.59423,1.59735,1.59408,1.597
2008-07-13,1.59695,1.59727,1.58418,1.59076
2008-07-14,1.59082,1.60388,1.58658,1.59114
2008-07-15,1.59122,1.59486,1.5801,1.58266
2008-07-16,1.5826,1.58932,1.5784,1.5863
2008-07-17,1.5863,1.58876,1.58076,1.58477
2008-07-18,1.58477,1.58477,1.58477,1.58477
2008-07-19,1.58422,1.58447,1.58317,1.58427
2008-07-20,1.58437,1.59304,1.58287,1.59226
2008-07-21,1.59226,1.59452,1.57578,1.57832
2008-07-22,1.57832,1.57982,1.56708,1.5698
2008-07-23,1.5698,1.57144,1.56288,1.56776
2008-07-24,1.56776,1.57534,1.56626,1.57095
2008-07-26,1.5703,1.57119,1.5703,1.57095
2008-07-27,1.57095,1.57682,1.56846,1.57412
2008-07-28,1.57412,1.57582,1.5554,1.55882
2008-07-29,1.55882,1.56166,1.5522,1.55752
2008-07-30,1.55758,1.57,1.55695,1.56038
2008-07-31,1.56038,1.56043,1.55148,1.55634
2008-08-01,1.55639,1.55639,1.55639,1.55639
2008-08-02,1.55611,1.55682,1.55575,1.55658
2008-08-03,1.55668,1.56312,1.55546,1.55764
2008-08-04,1.55764,1.55788,1.5446,1.5454
2008-08-05,1.5454,1.55166,1.53984,1.5407
2008-08-06,1.5407,1.55028,1.5311,1.53252
2008-08-07,1.53252,1.53352,1.49978,1.50052
2008-08-09,1.50102,1.5019,1.49226,1.49315
2008-08-10,1.49304,1.5084,1.48804,1.4909
2008-08-11,1.4909,1.4964,1.48155,1.49258
2008-08-12,1.49258,1.49806,1.48432,1.49192
2008-08-13,1.49192,1.49494,1.47782,1.48258
2008-08-14,1.48258,1.48258,1.46592,1.46857
2008-08-16,1.46826,1.46845,1.46425,1.46764
2008-08-17,1.46764,1.4768,1.46701,1.46948
2008-08-18,1.46948,1.47932,1.46304,1.4775
2008-08-19,1.47754,1.48062,1.46728,1.47478
2008-08-20,1.47478,1.49038,1.47318,1.49
2008-08-21,1.49006,1.49084,1.47588,1.47931
2008-08-23,1.4783,1.47855,1.4776,1.4784
2008-08-24,1.4784,1.48088,1.46966,1.47546
2008-08-25,1.47546,1.47604,1.45718,1.46534
2008-08-26,1.46534,1.47772,1.46332,1.47274
