,Open,High,Low,Close
2008-01-01,13262.9,13303.1,12981.1,13070.7
2008-01-02,13070.8,13125.1,13009.9,13074.6
2008-01-03,13074.7,13112.9,12776.0,12817.8
2008-01-06,12823.6,12891.7,12718.6,12803.5
2008-01-07,12806.5,12894.6,12553.5,12574.5
2008-01-08,12580.5,12731.5,12489.6,12715.6
2008-01-09,12713.7,12921.4,12616.7,12767.2
2008-01-10,12765.3,12778.3,12531.1,12596.9
2008-01-13,12610.6,12775.6,12533.2,12738.8
2008-01-14,12739.8,12749.8,12384.2,12384.2
2008-01-15,12381.2,12587.1,12364.8,12452.8
2008-01-16,12451.8,12530.8,12104.1,12194.7
2008-01-17,12193.7,12331.6,12000.3,12044.1
2008-01-20,12056.8,12091.6,11533.5,11542.5
2008-01-21,11548.6,12040.4,11410.5,11863.1
2008-01-22,11864.1,12273.3,11591.7,12239.5
2008-01-23,12244.5,12371.8,12137.3,12371.8
2008-01-24,12366.8,12443.1,12144.4,12193.3
2008-01-27,12197.0,12354.2,12039.8,12314.3
2008-01-28,12315.3,12457.6,12296.6,12425.8
2008-01-29,12424.8,12633.8,12311.0,12318.0
2008-01-30,12320.0,12655.6,12201.9,12575.0
2008-01-31,12573.0,12738.9,12547.4,12713.3
2008-02-03,12716.1,12737.5,12562.4,12571.4
2008-02-04,12570.4,12584.8,12224.2,12289.0
2008-02-05,12290.0,12355.5,12143.3,12171.2
2008-02-06,12170.2,12301.6,12066.1,12230.9
2008-02-07,12229.9,12263.1,12070.0,12143.9
2008-02-10,12128.6,12223.1,12040.4,12188.3
2008-02-11,12187.3,12439.3,12163.7,12355.7
2008-02-12,12356.7,12547.0,12300.1,12504.1
2008-02-13,12501.1,12555.3,12334.3,12358.3
2008-02-14,12360.3,12417.6,12248.3,12319.2
2008-02-17,12320.0,12472.2,12297.0,12470.2
2008-02-18,12471.5,12489.9,12281.6,12347.5
2008-02-19,12346.5,12443.1,12204.4,12405.2
2008-02-20,12406.2,12483.7,12231.4,12286.3
2008-02-21,12285.3,12391.9,12138.3,12370.9
2008-02-24,12372.7,12574.1,12325.3,12548.2
2008-02-25,12542.2,12718.6,12490.8,12671.8
2008-02-26,12669.8,12742.4,12589.5,12674.7
2008-02-27,12673.7,12677.7,12522.5,12544.7
2008-02-28,12546.7,12559.7,12211.0,12289.9
2008-03-02,12263.6,12270.3,12148.5,12250.4
2008-03-03,12252.4,12276.4,12018.4,12237.3
2008-03-04,12239.3,12341.8,12137.1,12265.1
