,Open,High,Low,Close
2008-01-01,833.9,861.46,833.9,857.31
2008-01-02,857.35,868.98,853.59,865.01
2008-01-03,865.03,868.84,854.61,859.7
2008-01-05,859.07,859.27,858.67,858.97
2008-01-06,858.67,865.06,855.33,858.19
2008-01-07,858.07,881.11,857.25,877.92
2008-01-08,878.02,891.49,872.08,878.86
2008-01-09,879.03,895.01,866.46,893.28
2008-01-10,893.29,898.11,887.75,895.45
2008-01-13,895.4,914.43,891.71,904.16
2008-01-14,904.17,914.035,887.82,888.29
2008-01-15,888.31,899.93,875.21,877.38
2008-01-16,877.34,890.25,875.37,877.91
2008-01-17,877.89,888.55,870.48,883.07
2008-01-20,882.32,883.1,861.03,864.82
2008-01-21,865.04,894.38,849.56,892.34
2008-01-22,892.34,895.84,876.55,890.49
2008-01-23,890.66,913.455,889.28,912.8
2008-01-24,912.85,923.935,906.05,913.9
2008-01-27,913.25,929.505,911.0,928.92
2008-01-28,928.92,933.4,919.89,923.65
2008-01-29,923.65,936.55,916.03,929.85
2008-01-30,929.8,930.4,918.45,926.23
2008-01-31,926.25,937.08,903.4,905.25
2008-02-03,907.25,912.93,892.32,903.45
2008-02-04,903.7,907.15,884.4,888.25
2008-02-05,888.15,907.65,886.25,900.2
2008-02-06,900.45,911.35,896.4,910.7
2008-02-07,910.75,922.56,907.5,922.1
2008-02-10,920.7,927.43,916.11,923.36
2008-02-11,923.21,924.88,902.95,906.65
2008-02-12,906.65,910.9,896.25,906.5
2008-02-13,906.25,914.13,901.78,908.35
2008-02-14,908.3,915.69,897.95,902.55
2008-02-17,904.05,907.95,900.4,905.18
2008-02-18,905.23,930.79,905.13,927.81
2008-02-19,927.76,945.98,913.555,944.4
2008-02-20,944.05,954.1,937.85,945.75
2008-02-21,945.65,950.195,935.85,945.2
2008-02-24,946.15,952.3,933.505,939.45
2008-02-25,939.5,950.43,926.625,948.08
2008-02-26,948.13,965.25,947.88,957.95
2008-02-27,957.95,972.65,953.5,970.95
2008-02-28,970.9,976.15,964.6,973.45
2008-03-01,973.85,973.85,973.85,973.85
2008-03-02,974.3,989.72,973.6,983.67
2008-03-03,983.62,988.27,956.7,963.85
2008-03-04,964.15,992.95,959.15,989.75
2008-03-05,989.5,992.55,965.3,979.05
2008-03-06,979.1,988.97,969.92,973.02
2008-03-09,974.07,980.97,961.1,973.03
2008-03-10,973.08,986.11,964.7,973.37
2008-03-11,973.42,983.455,968.2,983.055
2008-03-12,982.705,1000.0,981.45,995.0
2008-03-13,995.0,1007.585,990.7,1003.08
2008-03-14,1003.08,1003.08,1003.08,1003.08
2008-03-15,1003.75,1004.15,1003.75,1004.15
2008-03-16,1004.65,1032.85,994.4,1002.3
2008-03-17,1002.55,1012.65,976.3,981.3
2008-03-18,981.15,997.455,937.8,945.15
2008-03-19,945.2,945.85,904.75,910.25
2008-03-20,910.5,920.3,909.95,918.0
2008-03-23,917.9,927.35,906.45,915.5
2008-03-24,915.5,939.15,912.1,938.95
2008-03-25,938.9,954.79,934.63,954.29
2008-03-26,954.14,955.04,940.51,947.65
2008-03-27,947.65,951.33,923.25,931.4
2008-03-30,931.5,941.03,912.45,916.29
2008-03-31,916.39,921.29,872.255,882.5
2008-04-01,882.45,906.65,881.3,904.45
2008-04-02,904.45,909.15,888.05,903.0
2008-04-03,903.2,915.0,899.45,914.0
2008-04-06,914.15,929.5,910.8,920.0
2008-04-07,919.8,926.0,907.85,914.85
2008-04-08,914.85,935.9,903.17,934.2
2008-04-09,934.05,940.0,922.3,928.95
2008-04-10,928.95,932.45,917.6,925.3
2008-04-13,920.45,932.15,914.3,924.2
2008-04-14,924.15,936.75,923.15,928.1
2008-04-15,928.1,949.34,924.4,944.79
2008-04-16,944.84,953.19,937.45,938.85
2008-04-17,938.8,946.85,904.9,916.7
2008-04-20,918.05,928.95,911.2,916.9
2008-04-21,916.95,925.67,911.8,915.97
2008-04-22,915.97,923.12,896.94,904.28
2008-04-23,904.23,907.15,883.36,886.31
2008-04-24,886.31,896.65,877.95,886.3
2008-04-26,885.6,885.9,885.5,885.9
2008-04-27,885.4,896.05,885.4,893.4
2008-04-28,893.4,893.9,868.68,870.55
2008-04-29,870.55,879.05,862.7,877.6
2008-04-30,877.6,881.85,847.55,852.75
2008-05-01,852.75,859.53,845.4,856.45
2008-05-03,856.55,857.1,856.55,857.1
2008-05-04,857.25,874.7,857.15,874.38
2008-05-05,874.43,883.02,871.68,876.43
2008-05-06,876.43,881.58,863.85,868.9
2008-05-07,868.88,885.78,865.6,881.88
2008-05-08,881.88,889.85,870.745,884.85
2008-05-11,883.85,890.05,878.13,882.65
2008-05-12,882.65,886.05,861.2,867.1
2008-05-13,867.1,871.2,860.25,864.45
2008-05-14,864.45,887.85,862.25,881.85
2008-05-15,881.9,905.06,880.15,902.38
2008-05-18,902.83,913.86,900.78,905.18
2008-05-19,905.13,923.6,902.93,919.25
2008-05-20,919.23,932.8,916.78,932.45
2008-05-21,932.4,935.5,917.525,921.85
2008-05-22,922.15,929.38,915.4,925.03
2008-05-25,924.91,929.35,923.7,929.05
2008-05-26,929.05,931.05,904.38,906.55
2008-05-27,906.5,910.08,889.23,900.95
2008-05-28,900.98,903.38,873.58,877.85
2008-05-29,877.88,889.3,870.43,886.52
2008-06-01,887.22,897.565,881.32,891.34
